Recorder,date,numFiles,TotFileSizeMB
rec04_yellowgreen,2021-10-15,48,2730
rec04_yellowgreen,2021-10-16,26,1479
rec04_yellowgreen,2021-10-17,25,1429
rec04_yellowgreen,2021-10-18,20,1104
rec04_yellowgreen,2021-10-19,72,4298
rec04_yellowgreen,2021-10-20,81,4825
rec04_yellowgreen,2021-10-21,79,4388
rec04_yellowgreen,2021-10-22,117,6541
rec04_yellowgreen,2021-10-23,27,1537
rec04_yellowgreen,2021-10-24,72,4076
rec04_yellowgreen,2021-10-25,68,3888
rec04_yellowgreen,2021-10-26,55,3134
rec04_yellowgreen,2021-10-27,60,3512
rec04_yellowgreen,2021-10-28,82,4725
rec04_yellowgreen,2021-10-29,52,3040
rec04_yellowgreen,2021-10-30,66,3775
rec04_yellowgreen,2021-10-31,52,3039
rec04_yellowgreen,2021-11-01,89,5082
rec04_yellowgreen,2021-11-02,91,5134
rec04_yellowgreen,2021-11-03,57,3243
rec04_yellowgreen,2021-11-04,3,174
rec04_yellowgreen,2021-11-05,84,4751
rec04_yellowgreen,2021-11-06,23,1320
rec04_yellowgreen,2021-11-07,72,4143
rec04_yellowgreen,2021-11-08,40,2237
rec04_yellowgreen,2021-11-09,27,1481
rec04_yellowgreen,2021-11-10,6,341
rec04_yellowgreen,2021-11-11,54,3051
rec04_yellowgreen,2021-11-12,30,1638
rec04_yellowgreen,2021-11-13,4,228
rec04_yellowgreen,2021-11-14,8,457
rec04_yellowgreen,2021-11-15,2,114
rec04_yellowgreen,2021-11-16,41,2337
rec04_yellowgreen,2021-11-17,60,3423
rec04_yellowgreen,2021-11-18,37,1980
rec04_yellowgreen,2021-11-19,3,171
rec04_yellowgreen,2021-11-21,25,1436
rec04_yellowgreen,2021-11-22,87,4866
rec04_yellowgreen,2021-11-23,34,1918
rec04_yellowgreen,2021-11-24,7,396
rec04_yellowgreen,2021-11-25,53,3024
rec04_yellowgreen,2021-11-26,16,948
rec04_yellowgreen,2021-11-27,8,473
rec04_yellowgreen,2021-11-29,32,1824
rec04_yellowgreen,2022-02-09,67,3892
rec04_yellowgreen,2022-02-10,143,8220
rec04_yellowgreen,2022-02-11,126,7187
rec04_yellowgreen,2022-02-12,143,8282
rec04_yellowgreen,2022-02-13,58,3266
rec04_yellowgreen,2022-02-14,31,1799
rec04_yellowgreen,2022-02-15,21,1251
rec04_yellowgreen,2022-02-16,34,1993
rec04_yellowgreen,2022-02-17,80,5010
rec04_yellowgreen,2022-02-19,23,1346
rec04_yellowgreen,2022-02-20,14,835
rec04_yellowgreen,2022-02-21,36,2170
rec04_yellowgreen,2022-02-22,33,1976
rec04_yellowgreen,2022-02-23,35,2069
rec04_yellowgreen,2022-02-24,37,2241
rec04_yellowgreen,2022-02-25,51,3066
rec04_yellowgreen,2022-02-26,57,3510
rec04_yellowgreen,2022-02-27,54,3323
rec04_yellowgreen,2022-02-28,67,3970
rec04_yellowgreen,2022-03-01,8,465
rec04_yellowgreen,2022-03-02,43,2528
rec04_yellowgreen,2022-03-03,61,3588
rec04_yellowgreen,2022-03-04,19,1088
