fileName,ch1,ch2,ch3,ch4,ch5,ch6
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-07-23_dur=600secs.wav,ok,dead,dead,ok,ok,dead
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-09-58_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-13-00_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_12-24-32_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\early\RAW_YellowGreen_early_14-10-34_dur=600secs.wav,OverPower,OverPower,OverPower,OverPower,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_11-45-57_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_11-54-19_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-02-15_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-02-31_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-05-23_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-07-22_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-08-42_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-29-31_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-38-03_dur=600secs.wav,ok,ok,dead,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\late\RAW_YellowGreen_late_12-53-03_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_11-54-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-02-09_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-02-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-02-46_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-02-54_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-03-08_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-03-18_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-04-17_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-05-32_dur=600secs.wav,ok,ok,ok,ok,ok,ok
Data\WavFieldRecordings\Raw\yellowgreen\pre\RAW_YellowGreen_pre_12-52-28_dur=600secs.wav,ok,ok,ok,ok,ok,ok
