Frequency (Hz)	Level (dB)
7609.375000	-83.613693
7625.000000	-84.213028
7640.625000	-85.511894
7656.250000	-86.087578
7671.875000	-87.795837
7687.500000	-89.485115
7703.125000	-91.835281
7718.750000	-93.988060
7734.375000	-92.905067
7750.000000	-92.768478
7765.625000	-93.259949
7781.250000	-94.171928
7796.875000	-95.236702
7812.500000	-95.616966
7828.125000	-95.660660
7843.750000	-95.909897
7859.375000	-96.145470
7875.000000	-96.044151
7890.625000	-95.979355
7906.250000	-96.291435
7921.875000	-96.120354
7937.500000	-96.309448
7953.125000	-96.600311
7968.750000	-96.227829
7984.375000	-95.990837
