file,trueAzimuth,difference,tone,gainTest,recorder,wp,testTone,gainAdded,time
Yellow_pink03,-180,-5,y,y,Yellow,y,pinknoise,n,post
Yellow_pink03,-90,0,y,y,Yellow,y,pinknoise,n,post
Yellow_pink03,-45,0,y,y,Yellow,y,pinknoise,n,post
Yellow_pink03,0,5,y,y,Yellow,y,pinknoise,n,post
Yellow_pink03,90,0,y,y,Yellow,y,pinknoise,n,post
Blue_bird01,-90,-125,y,n,Blue,y,bird,n,post
Blue_bird01,90,120,y,n,Blue,y,bird,n,post
Blue_bird02,-90,-125,y,n,Blue,y,bird,n,post
Blue_bird02,90,120,y,n,Blue,y,bird,n,post
Blue_pink01,-90,-125,y,n,Blue,y,pinknoise,n,post
Blue_pink01,-45,170,y,n,Blue,y,pinknoise,n,post
Blue_Repowered_bird01,-180,-10,y,n,Blue,y,bird,n,post
Blue_Repowered_bird01,90,-150,y,n,Blue,y,bird,n,post
Blue_Repowered_bird02,-180,-10,y,n,Blue,y,bird,n,post
Blue_Repowered_bird02,90,-150,y,n,Blue,y,bird,n,post
Blue_Repowered_pink01,-180,-5,y,n,Blue,y,pinknoise,n,post
Blue_Repowered_pink01,90,-155,y,n,Blue,y,pinknoise,n,post
Blue_Repowered_pink02,-180,-10,y,n,Blue,y,pinknoise,n,post
Blue_Repowered_pink02,90,-155,y,n,Blue,y,pinknoise,n,post
Yellow_bird01,-180,0,y,n,Yellow,y,bird,n,post
Yellow_bird01,-90,-5,y,n,Yellow,y,bird,n,post
Yellow_bird01,-45,145,echo,n,Yellow,y,bird,n,post
Yellow_bird01,-45,0,y,n,Yellow,y,bird,n,post
Yellow_bird01,0,0,y,n,Yellow,y,bird,n,post
Yellow_bird01,90,120,echo,n,Yellow,y,bird,n,post
Yellow_bird01,90,-5,y,n,Yellow,y,bird,n,post
Yellow_bird02,-180,0,y,n,Yellow,y,bird,n,post
Yellow_bird02,-90,0,y,n,Yellow,y,bird,n,post
Yellow_bird02,-45,0,y,n,Yellow,y,bird,n,post
Yellow_bird02,0,5,y,n,Yellow,y,bird,n,post
Yellow_bird02,90,120,echo,n,Yellow,y,bird,n,post
Yellow_bird02,90,0,y,n,Yellow,y,bird,n,post
Yellow_bird02,90,115,echo,n,Yellow,y,bird,n,post
Yellow_pink02,-180,-5,y,n,Yellow,y,pinknoise,n,post
Yellow_pink02,-90,0,y,n,Yellow,y,pinknoise,n,post
Yellow_pink02,-45,0,y,n,Yellow,y,pinknoise,n,post
Yellow_pink02,0,5,y,n,Yellow,y,pinknoise,n,post
Yellow_pink02,90,-5,echo,n,Yellow,y,pinknoise,n,post
Yellow_pink02,90,120,echo,n,Yellow,y,pinknoise,n,post
Yellow_pink02,90,0,y,n,Yellow,y,pinknoise,n,post
Yellow_pink03,-180,-5,y,n,Yellow,y,pinknoise,n,post
Yellow_pink03,-90,0,y,n,Yellow,y,pinknoise,n,post
Yellow_pink03,-45,0,y,n,Yellow,y,pinknoise,n,post
Yellow_pink03,0,5,y,n,Yellow,y,pinknoise,n,post
Yellow_pink03,90,0,y,n,Yellow,y,pinknoise,n,post
1a_pinknoise_N_2,-180,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise_N_2,-90,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise_N_2,-45,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise_N_2,0,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise_N_2,90,0,y,n,2,n,pinknoise,n,pre
1a_pinknoise_N_2,135,0,y,n,2,n,pinknoise,n,pre
