filename,filename.short,distance.m,WP?,Test.tone,Trial,Threshold,True.azimuth,localised?,Start.time,Predicted.azimuth,Aliaized.Azimuth,error
localized_8m_wN_Bird_t01.wav,localized_8m_wN_Bird_t01.wav,8,n,wren,field,25,30,y,14.7,30,na,0
localized_8m_wN_Bird_t01.wav,localized_8m_wN_Bird_t01.wav,8,n,wren,field,25,120,y,27.5,130,na,10
localized_8m_wN_Bird_t01.wav,localized_8m_wN_Bird_t01.wav,8,n,wren,field,25,165,y-d,42.7,165,-45,0
localized_8m_wN_Bird_t01.wav,localized_8m_wN_Bird_t01.wav,8,n,wren,field,25,-150,y-d,56.1,-150,na,0
localized_8m_wN_Bird_t01.wav,localized_8m_wN_Bird_t01.wav,8,n,wren,field,25,-60,y,71.1,-55,na,5
localized_8m_wN_Bird_t02.wav,localized_8m_wN_Bird_t02.wav,8,n,wren,field,25,30,s,4.3,35,na,5
localized_8m_wN_Bird_t02.wav,localized_8m_wN_Bird_t02.wav,8,n,wren,field,25,30,y-d,15.7,35,-155,5
localized_8m_wN_Bird_t02.wav,localized_8m_wN_Bird_t02.wav,8,n,wren,field,25,120,y,33.3,125,na,5
localized_8m_wN_Bird_t02.wav,localized_8m_wN_Bird_t02.wav,8,n,wren,field,25,-150,a,64.9,-150,30,0
localized_8m_wN_Bird_t02.wav,localized_8m_wN_Bird_t02.wav,8,n,wren,field,25,-60,y-d,80.5,-65,na,-5
localized_8m_wN_Bird_t02.wav,localized_8m_wN_Bird_t02.wav,8,n,wren,field,25,165,a,?,?,-60,na
localized_8m_wN_Pink_t01.wav,localized_8m_wN_Pink_t01.wav,8,n,pink,field,25,30,y,15.9,35,na,5
localized_8m_wN_Pink_t01.wav,localized_8m_wN_Pink_t01.wav,8,n,pink,field,25,120,y,41.7,125,na,5
localized_8m_wN_Pink_t01.wav,localized_8m_wN_Pink_t01.wav,8,n,pink,field,25,-60,y,99.7,-65,na,-5
localized_8m_wN_Pink_t01.wav,localized_8m_wN_Pink_t01.wav,8,n,pink,field,25,30,s-m,na,na,na,na
localized_8m_wN_Pink_t01.wav,localized_8m_wN_Pink_t01.wav,8,n,pink,field,25,165,a,na,na,-60,na
